IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
2530_CE1	2530		CE1	154	87	bizarre	ADJ	bizarre	bizzare	87	1	02-Phono	01-Normé	_	s	_	bizarre	_	_	bizzare	_	_	1	0	0
2530_CE1	2530		CE1	154	102	content	ADJ	content	contant	102	1	02-Phono	01-Normé	m	s	_	content	_	_	contant	_	_	1	0	0
1327_CE1	1327		CE1	74	12	vieux	ADJ	vieille	vieille	12	1	01-Normé	01-Normé	f	s	_	vieill	e	_	vieill	e	_	0	0	0
1153_CE1	1153		CE1	59	10	gentil	ADJ	gentille	jantille	10	1	02-Phono	01-Normé	f	s	_	gentill	e	_	jantill	e	_	1	0	0
1153_CE1	1153		CE1	59	22	méchant	ADJ	méchante	méchante	22	1	01-Normé	01-Normé	f	s	_	méchant	e	_	méchant	e	_	0	0	0
1153_CE1	1153		CE1	59	30	secret	ADJ	secret	secret	30	1	01-Normé	01-Normé	m	s	_	secret	_	_	secret	_	_	0	0	0
1826_CE1	1826		CE1	105	13	noir	ADJ	noir	noir	13	1	01-Normé	01-Normé	m	s	_	noir	_	_	noir	_	_	0	0	0
1826_CE1	1826		CE1	105	21	coco	ADJ	Coco	Coco	21	1	01-Normé	01-Normé	_	s	_
1826_CE1	1826		CE1	105	85	content	ADJ	contente	contente	85	1	01-Normé	01-Normé	f	s	_	content	e	_	content	e	_	0	0	0
1960_CE1	1960		CE1	181	7	petit	ADJ	petit	petis	7	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	s	1	0	1
1960_CE1	1960		CE1	181	42	félin	ADJ	félins	félins	40	1	01-Normé	01-Normé	m	p	_
1960_CE1	1960		CE1	181	143	félin	ADJ	félin	folin	138	1	04-ApproxGraphique	01-Normé	m	s	_
1960_CE1	1960		CE1	181	165	bon	ADJ	bon	leont	159	1	05-ApproxPhono	01-Normé	m	s	_	bon	_	_	leont	_	_	1	0	0
1960_CE1	1960		CE1	181	182	fin	ADJ	Fins	fins	176	1	01-Normé	01-Normé	m	p	_	fin	_	s	fin	_	s	0	0	0
1128_CE1	1128		CE1	84	39	malin	ADJ	malins	malin	38	1	02-Phono	01-Normé	m	p	_	malin	_	s	malin	_	_	0	0	1
1128_CE1	1128		CE1	84	55	vrai	ADJ	vrai	vrais	54	1	02-Phono	01-Normé	m	s	_	vrai	_	_	vrai	_	s	0	0	1
3040_CE1	3040		CE1	104	52	fort	ADJ	fort	fort	50	1	01-Normé	01-Normé	m	s	_	fort	_	_	fort	_	_	0	0	0
